,Date,Open,High,Low,Close,Vol.,Change %,tr1,tr2,tr3,tr,atr,close_std,atr_std
51,2020-03-13,176.32,176.57,173.12,174.17,1.01M,-1.32%,3.4499999999999886,0.06999999999999318,3.3799999999999955,3.4499999999999886,0.11265306122448927,1.3277132700524161,0.021916243834238527
52,2020-03-16,174.6,175.25,171.97,172.17,623.39K,-1.15%,3.280000000000001,1.0800000000000125,2.1999999999999886,3.280000000000001,0.12428571428571378,1.8746064788509962,0.024924810899101906
53,2020-03-17,172.0,172.47,170.9,171.93,773.97K,-0.14%,1.5699999999999932,0.30000000000001137,1.2699999999999818,1.5699999999999932,0.1276020408163259,2.2915386644239795,0.026918691373824282
54,2020-03-18,171.39,171.39,168.24,168.79,879.20K,-1.83%,3.1499999999999773,0.5400000000000205,3.6899999999999977,3.6899999999999977,0.1410204081632648,3.106847188155521,0.02941749417251216
55,2020-03-19,170.01,171.18,167.52,167.94,813.15K,-0.50%,3.6599999999999966,2.390000000000015,1.2699999999999818,3.6599999999999966,0.15321428571428528,3.7555138218270807,0.03209414125659515
56,2020-03-20,168.53,170.84,168.52,170.42,543.20K,1.48%,2.319999999999993,2.9000000000000057,0.5800000000000125,2.9000000000000057,0.16096938775510167,3.9057492140531656,0.03436917747073413
57,2020-03-23,170.69,171.54,170.22,171.12,496.86K,0.41%,1.3199999999999932,1.1200000000000045,0.19999999999998863,1.3199999999999932,0.16045918367346904,3.932201240196949,0.03525666513042095
58,2020-03-24,171.13,171.38,170.19,170.27,454.21K,-0.50%,1.1899999999999977,0.2599999999999909,0.9300000000000068,1.1899999999999977,0.1619387755102037,3.9381139151617814,0.03488641632953443
59,2020-03-25,170.5,170.78,169.34,169.62,464.92K,-0.38%,1.4399999999999977,0.5099999999999909,0.9300000000000068,1.4399999999999977,0.1621428571428567,3.836366183578531,0.03353985316320547
60,2020-03-26,169.69,171.35,169.69,171.07,545.09K,0.85%,1.6599999999999966,1.7299999999999898,0.06999999999999318,1.7299999999999898,0.16602040816326483,3.4207142914507567,0.03127574663320261
61,2020-03-27,170.95,173.07,170.9,172.56,560.94K,0.87%,2.1699999999999875,2.0,0.1699999999999875,2.1699999999999875,0.164897959183673,3.0163525022088282,0.02848847130924461
62,2020-03-30,172.94,173.83,172.62,173.6,427.48K,0.60%,1.210000000000008,1.2700000000000102,0.060000000000002274,1.2700000000000102,0.15698979591836698,2.632900147520242,0.025458515980388084
63,2020-03-31,172.84,173.16,172.33,172.51,508.92K,-0.63%,0.8299999999999841,0.4399999999999977,1.2699999999999818,1.2699999999999818,0.15653061224489756,2.2476978454397303,0.02160772519168153
64,2020-04-01,172.7,173.48,172.23,172.57,483.25K,0.03%,1.25,0.9699999999999989,0.28000000000000114,1.25,0.15403061224489764,1.790083183038293,0.016993594706660217
65,2020-04-02,172.56,172.6,171.6,171.92,540.02K,-0.38%,1.0,0.030000000000001137,0.9699999999999989,1.0,0.1415306122448977,1.6080718438377404,0.013474120710176295
66,2020-04-03,171.96,172.44,171.8,172.06,391.64K,0.08%,0.6399999999999864,0.5200000000000102,0.11999999999997613,0.6399999999999864,0.1280612244897956,1.6031123574995878,0.012896573595382469
67,2020-04-06,171.85,172.05,171.42,171.82,320.31K,-0.14%,0.6300000000000239,0.009999999999990905,0.6400000000000148,0.6400000000000148,0.12331632653061204,1.5993661175667782,0.013567203965372962
68,2020-04-07,171.81,171.9,170.24,170.49,567.35K,-0.77%,1.6599999999999966,0.0800000000000125,1.579999999999984,1.6599999999999966,0.11295918367346917,1.4642383535622352,0.016990502205413278
69,2020-04-08,170.79,171.31,170.0,170.46,620.31K,-0.02%,1.3100000000000023,0.8199999999999932,0.4900000000000091,1.3100000000000023,0.10096938775510186,1.1407528360542316,0.0214374827955329
70,2020-04-09,170.12,171.09,170.01,170.9,455.32K,0.26%,1.0800000000000125,0.6299999999999955,0.45000000000001705,1.0800000000000125,0.09168367346938759,1.1138718236669722,0.02545751904298042
71,2020-04-14,170.47,171.71,170.28,171.54,274.44K,0.37%,1.4300000000000068,0.8100000000000023,0.6200000000000045,1.4300000000000068,0.09224489795918359,1.108555391012921,0.027962231605335314
72,2020-04-15,171.42,172.78,171.36,172.68,532.34K,0.66%,1.4199999999999875,1.240000000000009,0.1799999999999784,1.4199999999999875,0.09341836734693865,1.0850735529831237,0.029168914084662708
73,2020-04-16,172.43,172.9,172.04,172.67,459.93K,-0.01%,0.8600000000000136,0.21999999999999886,0.6400000000000148,0.8600000000000136,0.09045918367346935,0.9305100220297264,0.029713929684847075
74,2020-04-17,172.44,172.89,172.17,172.85,299.09K,0.10%,0.7199999999999989,0.21999999999999886,0.5,0.7199999999999989,0.08530612244897959,0.9273514809551238,0.029315281946311816
75,2020-04-20,172.65,173.01,172.19,172.41,392.72K,-0.25%,0.8199999999999932,0.1599999999999966,0.6599999999999966,0.8199999999999932,0.07841836734693879,0.9217935217293431,0.028425602210402114
76,2020-04-21,172.54,173.26,172.45,172.91,528.25K,0.29%,0.8100000000000023,0.8499999999999943,0.03999999999999204,0.8499999999999943,0.07627551020408156,0.8470559876139965,0.027355536709938157
77,2020-04-22,172.71,172.95,171.67,172.0,517.77K,-0.53%,1.2800000000000011,0.03999999999999204,1.240000000000009,1.2800000000000011,0.07632653061224494,0.8336006897123943,0.024912198041355547
78,2020-04-23,171.85,172.48,171.29,172.1,571.17K,0.06%,1.1899999999999977,0.47999999999998977,0.710000000000008,1.1899999999999977,0.07602040816326534,0.8159256187811956,0.021105142905560585
79,2020-04-24,172.38,172.87,172.27,172.76,417.98K,0.38%,0.5999999999999943,0.7700000000000102,0.17000000000001592,0.7700000000000102,0.07484693877551028,0.8466290623582714,0.017686046377250412
80,2020-04-27,172.68,172.91,172.23,172.45,392.52K,-0.18%,0.6800000000000068,0.15000000000000568,0.5300000000000011,0.6800000000000068,0.07505102040816346,0.8560052890864274,0.01505293177033476
81,2020-04-28,172.4,172.84,172.09,172.75,423.81K,0.17%,0.75,0.3900000000000148,0.3599999999999852,0.75,0.07561224489795929,0.8765620280447314,0.011745979732380712
82,2020-04-29,172.75,173.28,172.58,173.06,531.31K,0.18%,0.6999999999999886,0.5300000000000011,0.1699999999999875,0.6999999999999886,0.07071428571428579,0.7846746368484533,0.009390515356171993
83,2020-04-30,172.95,174.57,172.94,174.43,780.39K,0.79%,1.6299999999999955,1.509999999999991,0.12000000000000455,1.6299999999999955,0.07234693877551024,0.8040341280816061,0.008130703764590467
84,2020-05-04,174.37,174.69,173.77,174.04,497.88K,-0.22%,0.9199999999999875,0.2599999999999909,0.6599999999999966,0.9199999999999875,0.07153061224489787,0.7484698677009549,0.007799103666789114
85,2020-05-05,174.13,174.55,173.42,174.41,642.96K,0.21%,1.1300000000000239,0.5100000000000193,0.6200000000000045,1.1300000000000239,0.06999999999999999,0.7807463321489547,0.007174404909589619
86,2020-05-06,174.15,174.23,173.19,173.3,599.62K,-0.64%,1.039999999999992,0.18000000000000682,1.2199999999999989,1.2199999999999989,0.06897959183673474,0.7808772187536647,0.005885512359679524
87,2020-05-07,173.49,174.08,172.89,173.89,652.67K,0.34%,1.1900000000000261,0.7800000000000011,0.410000000000025,1.1900000000000261,0.07066326530612256,0.8076311855465886,0.004258551145589082
88,2020-05-08,173.87,174.24,173.52,173.77,302.21K,-0.07%,0.7199999999999989,0.35000000000002274,0.3699999999999761,0.7199999999999989,0.07066326530612256,0.8232527284767022,0.002993475474170997
89,2020-05-11,173.47,173.74,173.13,173.53,445.98K,-0.14%,0.6100000000000136,0.030000000000001137,0.6400000000000148,0.6400000000000148,0.0697448979591839,0.7985123530799536,0.002761086338442902
90,2020-05-12,173.18,173.49,172.8,173.37,616.39K,-0.09%,0.6899999999999977,0.03999999999999204,0.7299999999999898,0.7299999999999898,0.0691326530612247,0.7932088122175253,0.0027231142474021244
91,2020-05-13,173.55,173.92,173.41,173.63,550.62K,0.15%,0.5099999999999909,0.549999999999983,0.03999999999999204,0.549999999999983,0.06540816326530623,0.7064339325784558,0.003016417236918095
92,2020-05-14,173.56,174.08,173.5,173.65,540.23K,0.01%,0.5800000000000125,0.45000000000001705,0.12999999999999545,0.5800000000000125,0.062295918367347124,0.6021043683025977,0.003600753044684597
93,2020-05-15,173.62,174.23,173.59,173.74,471.06K,0.05%,0.6399999999999864,0.5799999999999841,0.060000000000002274,0.6399999999999864,0.061632653061224556,0.5649156311601702,0.004074239210939147
94,2020-05-18,173.75,174.09,172.61,173.16,678.10K,-0.33%,1.4799999999999898,0.3499999999999943,1.1299999999999955,1.4799999999999898,0.0657142857142857,0.482168293996716,0.0038642141627342514
95,2020-05-19,172.82,173.11,172.26,172.7,685.90K,-0.27%,0.8500000000000227,0.04999999999998295,0.9000000000000057,0.9000000000000057,0.0664795918367347,0.4892694711343181,0.0033826962312190935
96,2020-05-20,172.76,172.97,172.51,172.72,547.62K,0.01%,0.46000000000000796,0.27000000000001023,0.18999999999999773,0.46000000000000796,0.06525510204081643,0.5262452526469923,0.003389701414311003
97,2020-05-21,172.89,173.27,172.66,173.15,432.62K,0.25%,0.6100000000000136,0.5500000000000114,0.060000000000002274,0.6100000000000136,0.060051020408163465,0.4792416170074578,0.003711522030501813
98,2020-05-22,173.11,173.52,172.93,173.12,460.08K,-0.02%,0.5900000000000034,0.37000000000000455,0.21999999999999886,0.5900000000000034,0.05836734693877579,0.4629314144718037,0.004112416154237709
99,2020-05-25,173.05,173.28,172.98,173.06,136.20K,-0.03%,0.30000000000001137,0.1599999999999966,0.14000000000001478,0.30000000000001137,0.05413265306122471,0.3777907147815495,0.00501984273842296
